Tipos de modulación digital,Es la modulación de una onda analógica tomando como señal moduladora una digital ASK (en amplitud) FSK (en frecuencia) PSK (en fase) QAM (en amplitud y fase)
¿A que nos referimos cuando decimos que instalamos un modulo SFP?,SFP son las siglas de Transceptor de Pequeño Tamaño Modulos tipicamente de Fibra Optica (aunque tambien existen Ethernet) que se insertan en ciertos puertos de routers/switches. SFP  --> Hasta 4Gbps SFP+ --> Hasta 10Gpbs
¿En que consiste el servicio comun del PID-SVD?,Servicio de intercambio de datos (formato SCSP) entre organismos para realizar de una forma mas eficiente un tramite administrativo (y de paso no pedirle al ciudadano información que ya obra en poder de la Administración)
En el modelo entidad relación. ¿qué tipos de dependencia existen entre una entidad regular y una debil?,En existencia (no puede existir una sin la otra) En identidad (idem pero ademas la entidad debil necesita formar su clave con la de su entidad regular)
¿Cual es el uso del fichero Makefile?,Automatizar la construcción (compilado. linkado. etc) de programas tipicamente escritos en lenguaje C/C++ La herramienta que procesa estos ficheros se llama make
¿Como se llama al ORM de PHP/Laravel?,Eloquent (las clases que queramos persistir tienen que heredar de Illuminate\Database\Eloquent\Model)
"¿Qué proposito tiene la librería Java ""Apache Lucene""?",Es una libreria de indexación. La utilizan internamente productos como ElasticSearch o SOLR
¿Qué utilidad tiene la aplicación del patrón de diseño Observer?,Patrón que sirve para que una parte del sistema se subscriba y por lo tanto sea notificado de cambios sobre otra parte del mismo
En HTML5. ¿cuales son los objetos principales del API WebStorage y cual es su utilidad?,Siven para almacenar algo de información clave-valor en el cliente web (podriamos decir que son la evolución de las Cookies) Son dos objetos: localStorage y sessionStorage (la info se elimina al cerrar el navegador)
¿Para que nos sirve el sistema de ficheros LTFS?,Sistema de ficheros de las cintas LTO
¿Cual es el mecanismo para detectar direcciones IPv6 duplicadas?,"Se utilizan las tramas ICMPv6 del protocolo NDP como son NA (anuncio de vecino) y NS (solicitud de vecino). El proceso consiste en generar la dirección tentativa que quiere usar el host (autoconfiguración) y enviar un mensaje a la dirección multicast ""solicited-node"" para ver si alguien más tiene esa dirección"
"Indique el efecto del siguiente comando de Windows: net use * ""\\server\datos"" /persistent:no",Vamos a crear una unidad de red (el * elige la primera letra que esté libre) y apuntará al recurso \\server\datos Con /persistent:no en el siguiente inicio de sesion no estará disponible ese mapeo Otras opciones interesantes son /user:usuario password para autenticarnos y /savecred para guardar esas credenciales
En el ambito de Java. objetivo y funcionamiento del bloque finally,Ejecutar una serie de sentencias (tipicamente para liberar recursos) tanto si se ejecuta con exito el bloque try (incluso aunque haya una instrucción como return) como si se ejecuta alguno de los bloques catch.
En el ambito de Linux. ¿que información se almacena en el superbloque?,Contiene informacion (estadistica y de gestión) sobre un determinado sistema de ficheros (ext2. ext3 o ext4). Algunos datos imporantes serían: * Tipo de sistema de ficheros * Fecha y hora del ultimo chequeo * Intervalo de chequeo * Contador del numero de montajes realizados * Tamaño del bloque (tipicamente 4Kb. en ext4 podriamos llegar hasta 64Kb) * Numero de bloques libres * Numero de inodos libres * Numero total de bloques * Numero total de inodos * Estado del sistema de ficheros * Tamaño del inodo (ej. 256 bytes)
En Git. ¿como podemos excluir determinados ficheros/directorios del control de versiones?,Dentro del fichero .gitignore (donde vamos a incluir expresiones regulares) NOTA: un caracter ! delante de una expresión la excluye del tratamiento
En arquitectura de computadoras. ¿a que se refiere el termino big-endian?,Se refiere a un tipo de orden de almacenamiento de una palabra(word) de mas de un byte en memoria (tambien se podría aplicar al ambito de las comunicaciones) Consiste en almacenar el byte de más peso del dato en la dirección de memoria más baja Ej: En la palabra 0A0B0C0D el byte 0A se almacenará en la posición x y los siguientes bytes en x+1.x+2.etc
En relación con la ejecución de instrucciones. ¿que es el direccinamiento inmediato?,Aquel en el cual el valor del operando viene incluido en la propia instrucción (ej mov ax.2). Otros modos importantes: - Implicito (el operando está predeterminado por la propia instrucción). Ej. operaciones de pila - Directo -> el dato se encuentra en la memoria o en un registro - Indirecto -> lo que se encuentra en memoria o en un registro sería la dirección del dato - Relativo (la dirección del dato es relativa al valor de ciertos registros)
¿Cual es el uso de la pseudoclase :required ?,Es un selector que nos sirve para referirnos a los elementos (tipicamente input) que tengan declarado el atributo required (significa obligatorio)
En ATM. ¿cual de los niveles de capa de adaptación sirve para transimisiones con tasa constante de bits?,El nivel AAL1 (trafico orientado a conexion. sincrono y su clase de servicio es la A)
¿Qué proposito tiene la VLAN nativa?,"Poder manejar trafico ""no etiquetado"" (ej. por compatibilidad con switches u otros dispositivos que no manejen protocolo 802.1Q) Se configura en el switch sobre el enlace trunk con el siguiente comando (no tiene porque ser la VLAN 1): switchport trunk native vlan 66"
